tableM/A  pairs ep r0 al be lambda
1  A    WO   WO     2.103  0.594  7.494  9.355  1.0  
1  A    WO   NAC    2.455  0.582  7.494  9.355  1.0  
1  A    WO   CLC    2.163  0.637  7.494  9.355  1.0  
1  A    WO   BRC    2.259  0.655  7.494  9.355  1.0 
1  A    WO   NC4    2.634  0.558  9.483  11.846 1.0 
1  A    WO   MSO4   0.507  0.643  8.316  11.311 1.0 
2  M    WO   C04    1.440  0.550  9.793  11.548 1.0 
2  M    WO   C03    1.093  0.541  9.260  10.554 1.0 
1  A   NAC   NAC    2.866  0.570  7.494  9.355  1.0  
1  A   NAC   CLC    2.400  0.650  7.494  9.355  1.0  
1  A   NAC   BRC    2.149  0.661  7.494  9.355  1.0 
1  A   NAC   NC4    3.075  0.585  9.483  11.846 1.0 
1  A   NAC   MSO4   1.260  0.620  8.316  11.311 1.0 
2  M   NAC   C04    1.599  0.705  9.793  11.548 1.0
2  M   NAC   C03    1.044  0.614  9.260  10.554 1.0
1  A   CLC   CLC    2.224  0.679  7.494  9.355  1.0  
1  A   CLC   NC4    3.500  0.629  9.483 11.846  1.0
1  A   CLC  MSO4    3.058  0.492  8.316 11.311  1.0 
2  M   CLC   C03    0.722  0.609  9.260 10.554  1.0 
2  M   CLC   C04    1.000  0.700  9.793 11.548  1.0 
1  A   BRC   BRC    2.426  0.717  7.494  9.355  1.0 
1  A   BRC   BRC    2.426  0.717  7.494  9.355  1.0 
1  A   BRC   NC4    2.500  0.600  9.483  11.846 1.0 
1  A   BRC   MSO4   1.688  0.659  8.316  11.311 1.0                   
2  M   BRC   C03    1.011  0.636  9.260  10.554  1.0
2  M   BRC   C04    1.851  0.700  9.793  11.548  1.0
1  A   NC4   NC4    3.300  0.600 12.000  15.000 1.0 
1  A   NC4   MSO4   3.500  0.700 10.523  14.323 1.0               
2  M   NC4   C03    0.749  0.569 11.718  13.364 1.0 
2  M   NC4   C04    1.500  0.500 12.393  14.622 1.0 
1  A  MSO4  MSO4    1.175  0.600  9.228  13.676 1.0 
2  M  MSO4   C04    1.500  0.610 10.867  13.962 1.0 
2  M  MSO4   C03    1.250  0.550 10.275  12.761 1.0 
2  M   C04   C04    1.813  0.563 12.798  14.254 1.0 
2  M   C04   C03    1.461  0.531 12.101  13.028 1.0 
2  M   C03   C03    1.163  0.525 11.442  11.907 1.0 

											 
											 
